MTCuttingItemType_WearItemLife_ValueRank,3946,Variable
MTCuttingItemType_WearItemLife_Warning,3947,Variable
MTCuttingToolArchetypeType,3710,ObjectType
MTCuttingToolArchetypeType_CuttingToolDefinition,3716,Object
MTCuttingToolArchetypeType_CuttingToolDefinition_Data,4017,Object
MTCuttingToolArchetypeType_CuttingToolDefinition_Data_MimeType,4018,Variable
MTCuttingToolArchetypeType_CuttingToolDefinition_Data_OpenCount,4019,Variable
MTCuttingToolArchetypeType_CuttingToolDefinition_Data_Size,4020,Variable
MTCuttingToolArchetypeType_CuttingToolDefinition_Data_UserWritable,4021,Variable
MTCuttingToolArchetypeType_CuttingToolDefinition_Data_Writable,4022,Variable
MTCuttingToolArchetypeType_CuttingToolDefinition_Format,4016,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle,3715,Object
MTCuttingToolArchetypeType_CuttingToolLifecycle_ConnectionCodeMachineSide,3948,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_CutterStatus,3951,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_CutterStatus_Definition,3952,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_CutterStatus_EnumStrings,3954,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_CutterStatus_EnumValues,3955,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_CutterStatus_ValuePrecision,3953,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location,3998,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location_DataType,4001,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location_Definition,3999,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location_NegativeOverlap,4002,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location_PositiveOverlap,4003,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location_Type,4004,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location_ValuePrecision,4000,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_Location_ValueRank,4005,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate,3976,Variable
MTCuttingToolArchetypeType_CuttingToolLifecycle_ProcessFeedRate_DataType,3979,Variable
